line,gender
"Thy life is dear, for all that life can rate",male
Worth name of life in thee hath estimate:,male
"Youth, beauty, wisdom, courage, all",male
That happiness and prime can happy call.,male
Thou this to hazard needs must intimate,male
"Skill infinite, or monstrous desperate.",male
"Sweet practiser, thy physic I will try,",male
That ministers thine own death if I die.,male
Make thy demand.,male
"Ay, by my sceptre and my hopes of heaven.",male
"Here is my hand; the premises observ’d,",male
Thy will by my performance shall be serv’d;,male
"So make the choice of thy own time, for I,",male
"Thy resolv’d patient, on thee still rely.",male
"More should I question thee, and more I must,",male
Though more to know could not be more to trust:,male
"From whence thou cam’st, how tended on; but rest",male
"Unquestion’d welcome, and undoubted bless’d.",male
"Give me some help here, ho! If thou proceed",male
"As high as word, my deed shall match thy deed.",male
,male
Enter Countess and Clown.,male
"Go, call before me all the lords in court.",male
,male
"Sit, my preserver, by thy patient’s side,",male
"And with this healthful hand, whose banish’d sense",male
"Thou has repeal’d, a second time receive",male
"The confirmation of my promis’d gift,",male
Which but attends thy naming.,male
Enter several Lords.,male
"Fair maid, send forth thine eye. This youthful parcel",male
"Of noble bachelors stand at my bestowing,",male
O’er whom both sovereign power and father’s voice,male
I have to use. Thy frank election make;,male
"Thou hast power to choose, and they none to forsake.",male
Peruse them well.,male
Not one of those but had a noble father.,male
She addresses her to a Lord.,male
"Make choice; and, see,",male
Who shuns thy love shuns all his love in me.,male
"Why, then, young Bertram, take her; she’s thy wife.",male
"Know’st thou not, Bertram,",male
What she has done for me?,male
Thou know’st she has rais’d me from my sickly bed.,male
"’Tis only title thou disdain’st in her, the which",male
"I can build up. Strange is it that our bloods,",male
"Of colour, weight, and heat, pour’d all together,",male
"Would quite confound distinction, yet stands off",male
In differences so mighty. If she be,male
"All that is virtuous, save what thou dislik’st,",male
"A poor physician’s daughter,—thou dislik’st—",male
Of virtue for the name. But do not so.,male
"From lowest place when virtuous things proceed,",male
The place is dignified by the doer’s deed.,male
"Where great additions swell’s, and virtue none,",male
It is a dropsied honour. Good alone,male
Is good without a name; vileness is so:,male
"The property by what it is should go,",male
"Not by the title. She is young, wise, fair;",male
In these to nature she’s immediate heir;,male
And these breed honour: that is honour’s scorn,male
"Which challenges itself as honour’s born,",male
And is not like the sire. Honours thrive,male
When rather from our acts we them derive,male
"Than our fore-goers. The mere word’s a slave,",male
"Debauch’d on every tomb, on every grave",male
"A lying trophy, and as oft is dumb",male
Where dust and damn’d oblivion is the tomb,male
Of honour’d bones indeed. What should be said?,male
"If thou canst like this creature as a maid,",male
I can create the rest. Virtue and she,male
Is her own dower; honour and wealth from me.,male
"Thou wrong’st thyself, if thou shouldst strive to choose.",male
"My honour’s at the stake, which to defeat,",male
"I must produce my power. Here, take her hand,",male
"Proud scornful boy, unworthy this good gift,",male
That dost in vile misprision shackle up,male
My love and her desert; that canst not dream,male
"We, poising us in her defective scale,",male
Shall weigh thee to the beam; that wilt not know,male
It is in us to plant thine honour where,male
We please to have it grow. Check thy contempt;,male
"Obey our will, which travails in thy good;",male
"Believe not thy disdain, but presently",male
Do thine own fortunes that obedient right,male
Which both thy duty owes and our power claims;,male
Or I will throw thee from my care for ever,male
Into the staggers and the careless lapse,male
Of youth and ignorance; both my revenge and hate,male
"Loosing upon thee in the name of justice,",male
Without all terms of pity. Speak! Thine answer!,male
"Take her by the hand,",male
And tell her she is thine; to whom I promise,male
"A counterpoise; if not to thy estate,",male
A balance more replete.,male
Good fortune and the favour of the king,male
Smile upon this contract; whose ceremony,male
"Shall seem expedient on the now-born brief,",male
And be perform’d tonight. The solemn feast,male
"Shall more attend upon the coming space,",male
"Expecting absent friends. As thou lov’st her,",male
"Thy love’s to me religious; else, does err.",male
,male
"So that, from point to point, now have you heard",male
"The fundamental reasons of this war,",male
"Whose great decision hath much blood let forth,",male
And more thirsts after.,male
Therefore we marvel much our cousin France,male
"Would, in so just a business, shut his bosom",male
Against our borrowing prayers.,male
Be it his pleasure.,male
Welcome shall they be;,male
And all the honours that can fly from us,male
Shall on them settle. You know your places well;,male
"When better fall, for your avails they fell.",male
Tomorrow to the field.,male
,male
Enter Countess and Clown.,male
"The general of our horse thou art, and we,",male
"Great in our hope, lay our best love and credence",male
Upon thy promising fortune.,male
Then go thou forth;,male
"And fortune play upon thy prosperous helm,",male
As thy auspicious mistress!,male
"We lost a jewel of her, and our esteem",male
"Was made much poorer by it; but your son,",male
"As mad in folly, lack’d the sense to know",male
Her estimation home.,male
"My honour’d lady,",male
"I have forgiven and forgotten all,",male
"Though my revenges were high bent upon him,",male
And watch’d the time to shoot.,male
Praising what is lost,male
"Makes the remembrance dear. Well, call him hither;",male
"We are reconcil’d, and the first view shall kill",male
All repetition. Let him not ask our pardon;,male
"The nature of his great offence is dead,",male
And deeper than oblivion do we bury,male
Th’ incensing relics of it. Let him approach,male
"A stranger, no offender; and inform him",male
So ’tis our will he should.,male
What says he to your daughter? Have you spoke?,male
Then shall we have a match. I have letters sent me,male
That sets him high in fame.,male
Enter Bertram.,male
"I am not a day of season,",male
For thou mayst see a sunshine and a hail,male
In me at once. But to the brightest beams,male
Distracted clouds give way; so stand thou forth;,male
The time is fair again.,male
All is whole.,male
Not one word more of the consumed time.,male
Let’s take the instant by the forward top;,male
"For we are old, and on our quick’st decrees",male
Th’inaudible and noiseless foot of time,male
Steals ere we can effect them. You remember,male
The daughter of this lord?,male
Well excus’d:,male
"That thou didst love her, strikes some scores away",male
"From the great compt: but love that comes too late,",male
"Like a remorseful pardon slowly carried,",male
"To the great sender turns a sour offence,",male
"Crying, That’s good that’s gone. Our rash faults",male
"Make trivial price of serious things we have,",male
Not knowing them until we know their grave.,male
"Oft our displeasures, to ourselves unjust,",male
"Destroy our friends, and after weep their dust:",male
"Our own love waking cries to see what’s done,",male
While shameful hate sleeps out the afternoon.,male
"Be this sweet Helen’s knell, and now forget her.",male
Send forth your amorous token for fair Maudlin.,male
"The main consents are had, and here we’ll stay",male
To see our widower’s second marriage-day.,male
"Now, pray you, let me see it; for mine eye,",male
"While I was speaking, oft was fasten’d to it.",male
This ring was mine; and when I gave it Helen,male
"I bade her, if her fortunes ever stood",male
"Necessitied to help, that by this token",male
I would relieve her. Had you that craft to ’reave her,male
Of what should stead her most?,male
"Plutus himself,",male
"That knows the tinct and multiplying medicine,",male
Hath not in nature’s mystery more science,male
"Than I have in this ring. ’Twas mine, ’twas Helen’s,",male
Whoever gave it you. Then if you know,male
"That you are well acquainted with yourself,",male
"Confess ’twas hers, and by what rough enforcement",male
You got it from her. She call’d the saints to surety,male
That she would never put it from her finger,male
"Unless she gave it to yourself in bed,",male
"Where you have never come, or sent it us",male
Upon her great disaster.,male
"Thou speak’st it falsely, as I love mine honour,",male
And mak’st conjectural fears to come into me,male
Which I would fain shut out. If it should prove,male
"That thou art so inhuman,—’twill not prove so:",male
"And yet I know not, thou didst hate her deadly.",male
And she is dead; which nothing but to close,male
"Her eyes myself, could win me to believe",male
More than to see this ring. Take him away.,male
,male
"My fore-past proofs, howe’er the matter fall,",male
"Shall tax my fears of little vanity,",male
Having vainly fear’d too little. Away with him.,male
We’ll sift this matter further.,male
I am wrapp’d in dismal thinkings.,male
Enter a Gentleman.,male
 _Upon his many protestations to marry me when his wife was,male
"dead, I blush to say it, he won me. Now is the Count Rossillon a",male
"widower; his vows are forfeited to me, and my honour’s paid to him. He",male
"stole from Florence, taking no leave, and I follow him to his country",male
"for justice. Grant it me, O king, in you it best lies; otherwise a",male
"seducer flourishes, and a poor maid is undone._",male
"The heavens have thought well on thee, Lafew,",male
To bring forth this discovery. Seek these suitors.,male
"Go speedily, and bring again the count.",male
,male
"I am afeard the life of Helen, lady,",male
Was foully snatch’d.,male
"I wonder, sir, since wives are monsters to you,",male
"And that you fly them as you swear them lordship,",male
Yet you desire to marry. What woman’s that?,male
Enter Widow and Diana.,male
"Come hither, count; do you know these women?",male
"Sir, for my thoughts, you have them ill to friend",male
Till your deeds gain them; fairer prove your honour,male
Than in my thought it lies!,male
What say’st thou to her?,male
Methought you said,male
You saw one here in court could witness it.,male
"Find him, and bring him hither.",male
,male
She hath that ring of yours.,male
"What ring was yours, I pray you?",male
Know you this ring? This ring was his of late.,male
The story then goes false you threw it him,male
Out of a casement.,male
You boggle shrewdly; every feather starts you.,male
Is this the man you speak of?,male
"Tell me, sirrah, but tell me true I charge you,",male
"Not fearing the displeasure of your master,",male
"Which on your just proceeding, I’ll keep off,—",male
By him and by this woman here what know you?,male
"Come, come, to the purpose. Did he love this woman?",male
"How, I pray you?",male
How is that?,male
As thou art a knave and no knave.,male
What an equivocal companion is this!,male
But wilt thou not speak all thou know’st?,male
"Thou hast spoken all already, unless thou canst say they are married;",male
but thou art too fine in thy evidence; therefore stand aside. This,male
"ring, you say, was yours?",male
Where did you buy it? Or who gave it you?,male
Who lent it you?,male
Where did you find it then?,male
"If it were yours by none of all these ways,",male
How could you give it him?,male
"This ring was mine, I gave it his first wife.",male
"Take her away, I do not like her now.",male
To prison with her. And away with him.,male
"Unless thou tell’st me where thou hadst this ring,",male
Thou diest within this hour.,male
Take her away.,male
I think thee now some common customer.,male
Wherefore hast thou accus’d him all this while?,male
She does abuse our ears; to prison with her.,male
Is there no exorcist,male
Beguiles the truer office of mine eyes?,male
Is’t real that I see?,male
"Let us from point to point this story know,",male
To make the even truth in pleasure flow.,male
" If thou beest yet a fresh uncropped flower,",male
"Choose thou thy husband, and I’ll pay thy dower;",male
"For I can guess that by thy honest aid,",male
"Thou kept’st a wife herself, thyself a maid.",male
"Of that and all the progress more and less,",male
Resolvedly more leisure shall express.,male
"All yet seems well, and if it end so meet,",male
"The bitter past, more welcome is the sweet.",male
,male
,male
"_The king’s a beggar, now the play is done;",male
"All is well ended if this suit be won,",male
That you express content; which we will pay,male
"With strife to please you, day exceeding day.",male
"Ours be your patience then, and yours our parts;",male
"Your gentle hands lend us, and take our hearts._",male
,male
THE TRAGEDY OF ANTONY AND CLEOPATRA,male
Contents,male
Scene I.,male
Alexandria. A Room in Cleopatra’s palace.,male
Scene II.,male
Alexandria. Another Room in Cleopatra’s palace.,male
Scene III.,male
Alexandria. A Room in Cleopatra’s palace.,male
Scene IV.,male
Rome. An Apartment in Caesar’s House,male
Scene V.,male
Alexandria. A Room in the Palace.,male
Scene I.,male
Messina. A Room in Pompey’s house.,male
Scene II.,male
Rome. A Room in the House of Lepidus.,male
Scene III.,male
Rome. A Room in Caesar’s House.,male
Scene IV.,male
Rome. A street.,male
Scene V.,male
Alexandria. A Room in the Palace.,male
Scene VI.,male
Near Misenum.,male
Scene VII.,male
"On board Pompey’s Galley, lying near Misenum.",male
Scene I.,male
A plain in Syria.,male
Scene II.,male
Rome. An Ante-chamber in Caesar’s house.,male
Scene III.,male
Alexandria. A Room in the Palace.,male
Scene IV.,male
Athens. A Room in Antony’s House.,male
Scene V.,male
Athens. Another Room in Antony’s House.,male
Scene VI.,male
Rome. A Room in Caesar’s House.,male
Scene VII.,male
Antony’s Camp near the Promontory of Actium.,male
Scene VIII.,male
A plain near Actium.,male
Scene IX.,male
Another part of the Plain.,male
Scene X.,male
Another part of the Plain.,male
Scene XI.,male
Alexandria. A Room in the Palace.,male
Scene XII.,male
Caesar’s camp in Egypt.,male
Scene XIII.,male
Alexandria. A Room in the Palace.,male
Scene I.,male
Caesar’s Camp at Alexandria.,male
Scene II.,male
Alexandria. A Room in the Palace.,male
Scene III.,male
Alexandria. Before the Palace.,male
Scene IV.,male
Alexandria. A Room in the Palace.,male
Scene V.,male
Antony’s camp near Alexandria.,male
Scene VI.,male
Alexandria. Caesar’s camp.,male
Scene VII.,male
Field of battle between the Camps.,male
Scene VIII.,male
Under the Walls of Alexandria.,male
Scene IX.,male
Caesar’s camp.,male
Scene X.,male
Ground between the two Camps.,male
Scene XI.,male
Another part of the Ground.,male
Scene XII.,male
Another part of the Ground.,male
Scene XIII.,male
Alexandria. A Room in the Palace.,male
Scene XIV.,male
Alexandria. Another Room.,male
Scene XV.,male
Alexandria. A monument.,male
Scene I.,male
Caesar’s Camp before Alexandria.,male
Scene II.,male
Alexandria. A Room in the Monument.,male
Dramatis Personæ,male
"MARK ANTONY, Triumvir",male
"OCTAVIUS CAESAR, Triumvir",male
"LEPIDUS, Triumvir",male
"SEXTUS POMPEIUS,",male
"DOMITIUS ENOBARBUS, friend to Antony",male
"VENTIDIUS, friend to Antony",male
"EROS, friend to Antony",male
"SCARUS, friend to Antony",male
"DERCETUS, friend to Antony",male
"DEMETRIUS, friend to Antony",male
"PHILO, friend to Antony",male
"MAECENAS, friend to Caesar",male
"AGRIPPA, friend to Caesar",male
"DOLABELLA, friend to Caesar",male
"PROCULEIUS, friend to Caesar",male
"THIDIAS, friend to Caesar",male
"GALLUS, friend to Caesar",male
"MENAS, friend to Pompey",male
"MENECRATES, friend to Pompey",male
"VARRIUS, friend to Pompey",male
"TAURUS, Lieutenant-General to Caesar",male
"CANIDIUS, Lieutenant-General to Antony",male
"SILIUS, an Officer in Ventidius’s army",male
"EUPHRONIUS, an Ambassador from Antony to Caesar",male
"ALEXAS, attendant on Cleopatra",male
"MARDIAN, attendant on Cleopatra",male
"SELEUCUS, attendant on Cleopatra",male
"DIOMEDES, attendant on Cleopatra",male
A SOOTHSAYER,male
A CLOWN,male
"CLEOPATRA, Queen of Egypt",male
"OCTAVIA, sister to Caesar and wife to Antony",male
"CHARMIAN, Attendant on Cleopatra",male
"IRAS, Attendant on Cleopatra",male
"Officers, Soldiers, Messengers, and other Attendants",male
Enter Demetrius and Philo.,male
"If it be love indeed, tell me how much.",female
There’s beggary in the love that can be reckoned.,male
I’ll set a bourn how far to be beloved.,female
"Then must thou needs find out new heaven, new earth.",male
Enter a Messenger.,male
"Grates me, the sum.",male
"Nay, hear them, Antony.",female
Fulvia perchance is angry; or who knows,female
If the scarce-bearded Caesar have not sent,female
His powerful mandate to you: “Do this or this;,female
Take in that kingdom and enfranchise that.,female
"Perform’t, or else we damn thee.”",female
"How, my love?",male
"Perchance! Nay, and most like.",female
You must not stay here longer; your dismission,female
"Is come from Caesar; therefore hear it, Antony.",female
Where’s Fulvia’s process?—Caesar’s I would say? Both?,female
"Call in the messengers. As I am Egypt’s queen,",female
"Thou blushest, Antony, and that blood of thine",female
Is Caesar’s homager; else so thy cheek pays shame,female
When shrill-tongued Fulvia scolds. The messengers!,female
"Let Rome in Tiber melt, and the wide arch",male
Of the ranged empire fall! Here is my space.,male
Kingdoms are clay. Our dungy earth alike,male
Feeds beast as man. The nobleness of life,male
Is to do thus ; when such a mutual pair,male
"And such a twain can do’t, in which I bind,",male
"On pain of punishment, the world to weet",male
We stand up peerless.,male
Excellent falsehood!,female
"Why did he marry Fulvia, and not love her?",female
I’ll seem the fool I am not. Antony,female
Will be himself.,female
But stirred by Cleopatra.,male
"Now, for the love of Love and her soft hours,",male
Let’s not confound the time with conference harsh.,male
There’s not a minute of our lives should stretch,male
Without some pleasure now. What sport tonight?,male
Hear the ambassadors.,female
"Fie, wrangling queen!",male
"Whom everything becomes—to chide, to laugh,",male
To weep; whose every passion fully strives,male
"To make itself, in thee fair and admired!",male
"No messenger but thine, and all alone",male
Tonight we’ll wander through the streets and note,male
"The qualities of people. Come, my queen,",male
Last night you did desire it. Speak not to us.,male
,male
Saw you my lord?,female
Was he not here?,female
He was disposed to mirth; but on the sudden,female
A Roman thought hath struck him. Enobarbus!,female
Seek him and bring him hither. Where’s Alexas?,female
We will not look upon him. Go with us.,female
"[_Exeunt Cleopatra, Enobarbus, Charmian, Iras, Alexas and",female
Soothsayer._],female
Against my brother Lucius.,male
"Well, what worst?",male
When it concerns the fool or coward. On.,male
Things that are past are done with me. ’Tis thus:,male
"Who tells me true, though in his tale lie death,",male
I hear him as he flattered.,male
"“Antony”, thou wouldst say—",male
Speak to me home; mince not the general tongue.,male
Name Cleopatra as she is called in Rome;,male
"Rail thou in Fulvia’s phrase, and taunt my faults",male
With such full licence as both truth and malice,male
"Have power to utter. O, then we bring forth weeds",male
"When our quick minds lie still, and our ills told us",male
Is as our earing. Fare thee well awhile.,male
"From Sicyon, ho, the news? Speak there!",male
Is there such a one?,male
Let him appear.,male
,male
"These strong Egyptian fetters I must break,",male
Or lose myself in dotage.,male
Enter another Messenger with a letter.,male
What are you?,male
Where died she?,male
Forbear me.,male
,male
There’s a great spirit gone! Thus did I desire it.,male
"What our contempts doth often hurl from us,",male
"We wish it ours again. The present pleasure,",male
"By revolution lowering, does become",male
"The opposite of itself. She’s good, being gone.",male
The hand could pluck her back that shoved her on.,male
I must from this enchanting queen break off.,male
"Ten thousand harms, more than the ills I know,",male
"My idleness doth hatch. How now, Enobarbus!",male
Enter Enobarbus.,male
I must with haste from hence.,male
I must be gone.,male
She is cunning past man’s thought.,male
Would I had never seen her!,male
Fulvia is dead.,male
Fulvia is dead.,male
Dead.,male
The business she hath broached in the state,male
Cannot endure my absence.,male
No more light answers. Let our officers,male
Have notice what we purpose. I shall break,male
"The cause of our expedience to the Queen,",male
And get her leave to part. For not alone,male
"The death of Fulvia, with more urgent touches,",male
"Do strongly speak to us, but the letters too",male
Of many our contriving friends in Rome,male
Petition us at home. Sextus Pompeius,male
"Hath given the dare to Caesar, and commands",male
"The empire of the sea. Our slippery people,",male
Whose love is never linked to the deserver,male
"Till his deserts are past, begin to throw",male
Pompey the Great and all his dignities,male
"Upon his son, who, high in name and power,",male
"Higher than both in blood and life, stands up",male
"For the main soldier; whose quality, going on,",male
The sides o’ th’ world may danger. Much is breeding,male
"Which, like the courser’s hair, hath yet but life",male
And not a serpent’s poison. Say our pleasure,male
"To such whose place is under us, requires",male
Our quick remove from hence.,male
Where is he?,female
"See where he is, who’s with him, what he does.",female
"I did not send you. If you find him sad,",female
"Say I am dancing; if in mirth, report",female
"That I am sudden sick. Quick, and return.",female
,female
What should I do I do not?,female
Thou teachest like a fool: the way to lose him.,female
I am sick and sullen.,female
I am sorry to give breathing to my purpose—,male
"Help me away, dear Charmian! I shall fall.",female
It cannot be thus long; the sides of nature,female
Will not sustain it.,female
"Now, my dearest queen—",male
"Pray you, stand farther from me.",female
What’s the matter?,male
I know by that same eye there’s some good news.,female
"What, says the married woman you may go?",female
Would she had never given you leave to come!,female
Let her not say ’tis I that keep you here.,female
I have no power upon you; hers you are.,female
The gods best know—,male
"O, never was there queen",female
So mightily betrayed! Yet at the first,female
I saw the treasons planted.,female
Cleopatra—,male
"Why should I think you can be mine and true,",female
"Though you in swearing shake the throned gods,",female
"Who have been false to Fulvia? Riotous madness,",female
To be entangled with those mouth-made vows,female
Which break themselves in swearing!,female
Most sweet queen—,male
"Nay, pray you seek no colour for your going,",female
"But bid farewell and go. When you sued staying,",female
"Then was the time for words. No going then,",female
"Eternity was in our lips and eyes,",female
Bliss in our brows’ bent; none our parts so poor,female
"But was a race of heaven. They are so still,",female
"Or thou, the greatest soldier of the world,",female
Art turned the greatest liar.,female
"How now, lady!",male
"I would I had thy inches, thou shouldst know",female
There were a heart in Egypt.,female
"Hear me, queen:",male
The strong necessity of time commands,male
"Our services awhile, but my full heart",male
Remains in use with you. Our Italy,male
Shines o’er with civil swords; Sextus Pompeius,male
Makes his approaches to the port of Rome;,male
Equality of two domestic powers,male
"Breed scrupulous faction; the hated, grown to strength,",male
"Are newly grown to love; the condemned Pompey,",male
"Rich in his father’s honour, creeps apace",male
Into the hearts of such as have not thrived,male
"Upon the present state, whose numbers threaten;",male
"And quietness, grown sick of rest, would purge",male
"By any desperate change. My more particular,",male
"And that which most with you should safe my going,",male
Is Fulvia’s death.,male
"Though age from folly could not give me freedom,",female
It does from childishness. Can Fulvia die?,female
"She’s dead, my queen.",male
"Look here, and at thy sovereign leisure read",male
"The garboils she awaked; at the last, best,",male
See when and where she died.,male
O most false love!,female
Where be the sacred vials thou shouldst fill,female
"With sorrowful water? Now I see, I see,",female
In Fulvia’s death how mine received shall be.,female
"Quarrel no more, but be prepared to know",male
"The purposes I bear; which are, or cease,",male
As you shall give th’ advice. By the fire,male
"That quickens Nilus’ slime, I go from hence",male
"Thy soldier, servant, making peace or war",male
As thou affects.,male
"Cut my lace, Charmian, come!",female
"But let it be; I am quickly ill and well,",female
So Antony loves.,female
"My precious queen, forbear,",male
"And give true evidence to his love, which stands",male
An honourable trial.,male
So Fulvia told me.,female
"I prithee, turn aside and weep for her,",female
"Then bid adieu to me, and say the tears",female
"Belong to Egypt. Good now, play one scene",female
"Of excellent dissembling, and let it look",female
Like perfect honour.,female
You’ll heat my blood. No more.,male
"You can do better yet, but this is meetly.",female
"Now, by my sword—",male
And target. Still he mends.,female
"But this is not the best. Look, prithee, Charmian,",female
How this Herculean Roman does become,female
The carriage of his chafe.,female
"I’ll leave you, lady.",male
"Courteous lord, one word.",female
"Sir, you and I must part, but that’s not it;",female
"Sir, you and I have loved, but there’s not it;",female
That you know well. Something it is I would—,female
"O, my oblivion is a very Antony,",female
And I am all forgotten.,female
But that your royalty,male
"Holds idleness your subject, I should take you",male
For idleness itself.,male
’Tis sweating labour,female
To bear such idleness so near the heart,female
"As Cleopatra this. But, sir, forgive me,",female
Since my becomings kill me when they do not,female
Eye well to you. Your honour calls you hence;,female
"Therefore be deaf to my unpitied folly,",female
And all the gods go with you! Upon your sword,female
"Sit laurel victory, and smooth success",female
Be strewed before your feet!,female
Let us go. Come.,male
Our separation so abides and flies,male
"That thou, residing here, goes yet with me,",male
"And I, hence fleeting, here remain with thee.",male
Away!,male
,male
"Enter Octavius , Lepidus and their train.",male
Charmian!,female
"Ha, ha!",female
Give me to drink mandragora.,female
That I might sleep out this great gap of time,female
My Antony is away.,female
"O, ’tis treason!",female
"Thou, eunuch Mardian!",female
Not now to hear thee sing. I take no pleasure,female
In aught an eunuch has. ’Tis well for thee,female
"That, being unseminared, thy freer thoughts",female
May not fly forth of Egypt. Hast thou affections?,female
Indeed?,female
"O, Charmian,",female
"Where think’st thou he is now? Stands he, or sits he?",female
Or does he walk? Or is he on his horse?,female
"O happy horse, to bear the weight of Antony!",female
"Do bravely, horse, for wot’st thou whom thou mov’st?",female
"The demi-Atlas of this earth, the arm",female
"And burgonet of men. He’s speaking now,",female
Or murmuring “Where’s my serpent of old Nile?”,female
For so he calls me. Now I feed myself,female
With most delicious poison. Think on me,female
"That am with Phœbus’ amorous pinches black,",female
"And wrinkled deep in time? Broad-fronted Caesar,",female
"When thou wast here above the ground, I was",female
A morsel for a monarch. And great Pompey,female
Would stand and make his eyes grow in my brow;,female
"There would he anchor his aspect, and die",female
With looking on his life.,female
Enter Alexas.,female
How much unlike art thou Mark Antony!,female
"Yet, coming from him, that great medicine hath",female
With his tinct gilded thee.,female
How goes it with my brave Mark Antony?,female
Mine ear must pluck it thence.,female
"What, was he sad or merry?",female
"O well-divided disposition!—Note him,",female
"Note him, good Charmian, ’tis the man; but note him:",female
"He was not sad, for he would shine on those",female
"That make their looks by his; he was not merry,",female
Which seemed to tell them his remembrance lay,female
In Egypt with his joy; but between both.,female
"O heavenly mingle!—Be’st thou sad or merry,",female
"The violence of either thee becomes,",female
So does it no man else.—Met’st thou my posts?,female
Who’s born that day,female
When I forget to send to Antony,female
"Shall die a beggar.—Ink and paper, Charmian.—",female
"Welcome, my good Alexas.—Did I, Charmian,",female
Ever love Caesar so?,female
Be choked with such another emphasis!,female
Say “the brave Antony.”,female
"By Isis, I will give thee bloody teeth",female
If thou with Caesar paragon again,female
